LIBGEO,AN,TYPE_LOG,NOMBRE
Lauret,2022,Résidences principales,263.0
Lauroux,2022,Résidences principales,109.635361159965
Lavalette,2022,Résidences principales,27.5
Lavérune,2022,Résidences principales,1459.74073185111
Lespignan,2022,Résidences principales,1534.68779263192
Lézignan-la-Cèbe,2022,Résidences principales,701.0
Liausson,2022,Résidences principales,81.1208053691273
Lieuran-Cabrières,2022,Résidences principales,159.0
Lieuran-lès-Béziers,2022,Résidences principales,657.245051510517
Lignan-sur-Orb,2022,Résidences principales,1471.0
La Livinière,2022,Résidences principales,249.919758780502
Lodève,2022,Résidences principales,3594.74476088206
Loupian,2022,Résidences principales,972.097318966408
Lunas-les-Châteaux,2022,Résidences principales,402.054794520548
Lunel,2022,Résidences principales,11729.6911829146
Lunel-Viel,2022,Résidences principales,1826.2692342428
Magalas,2022,Résidences principales,1448.0
Maraussan,2022,Résidences principales,2041.0
Margon,2022,Résidences principales,312.41162137335
Marseillan,2022,Résidences principales,4109.57296035292
Marsillargues,2022,Résidences principales,3189.49094000312
Mas-de-Londres,2022,Résidences principales,277.926177977235
Les Matelles,2022,Résidences principales,845.0
Mauguio,2022,Résidences principales,8107.80943457265
Maureilhan,2022,Résidences principales,1051.44514812401
Mérifons,2022,Résidences principales,24.8225806451613
Mèze,2022,Résidences principales,6110.30776727861
Minerve,2022,Résidences principales,52.1941747572815
Mireval,2022,Résidences principales,1438.51699374918
Mons,2022,Résidences principales,336.870731317866
Montady,2022,Résidences principales,1753.0
Montagnac,2022,Résidences principales,1903.04459558482
Montarnaud,2022,Résidences principales,1560.87295684567
Montaud,2022,Résidences principales,417.589058254533
Montbazin,2022,Résidences principales,1212.60936391203
Montblanc,2022,Résidences principales,1246.56084531207
Montels,2022,Résidences principales,112.044096085727
Montesquieu,2022,Résidences principales,39.0
Montferrier-sur-Lez,2022,Résidences principales,1785.78251315767
Montouliers,2022,Résidences principales,119.585248943573
Montoulieu,2022,Résidences principales,74.5555555555555
Montpellier,2022,Résidences principales,162861.64422834
Montpeyroux,2022,Résidences principales,608.328660140707
Moulès-et-Baucels,2022,Résidences principales,381.061787133687
Mourèze,2022,Résidences principales,100.572265335991
Mudaison,2022,Résidences principales,1258.6700642039
Murles,2022,Résidences principales,144.617945476144
Murviel-lès-Béziers,2022,Résidences principales,1314.0968540027
Murviel-lès-Montpellier,2022,Résidences principales,790.035104097349
Nébian,2022,Résidences principales,671.09525614854
Neffiès,2022,Résidences principales,488.441802361011
Nézignan-l'Évêque,2022,Résidences principales,729.0
Nissan-lez-Enserune,2022,Résidences principales,1871.0
Nizas,2022,Résidences principales,339.993177510713
Notre-Dame-de-Londres,2022,Résidences principales,253.960407050384
Octon,2022,Résidences principales,244.195885662076
Olargues,2022,Résidences principales,264.0
Olmet-et-Villecun,2022,Résidences principales,83.5092024539877
Olonzac,2022,Résidences principales,790.822340529865
Oupia,2022,Résidences principales,154.0
Pailhès,2022,Résidences principales,278.961019516308
Palavas-les-Flots,2022,Résidences principales,3673.5162902375
Pardailhan,2022,Résidences principales,90.7968180141321
Paulhan,2022,Résidences principales,1785.54913447724
Pégairolles-de-Buèges,2022,Résidences principales,31.132075471698
Pégairolles-de-l'Escalette,2022,Résidences principales,84.0
Péret,2022,Résidences principales,522.0
Pérols,2022,Résidences principales,4464.73276239366
Pézenas,2022,Résidences principales,3993.79860969349
Pézènes-les-Mines,2022,Résidences principales,108.204180581532
Pierrerue,2022,Résidences principales,157.503621334371
Pignan,2022,Résidences principales,3477.67971842884
Pinet,2022,Résidences principales,820.766032224645
Plaissan,2022,Résidences principales,658.840746921303
Les Plans,2022,Résidences principales,154.0
Poilhes,2022,Résidences principales,254.60980076225
