LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Olmet-et-Villecun,2022,125,Appartements,2
Olonzac,2022,1085,Appartements,169
Oupia,2022,243,Appartements,19
Pailhès,2022,346,Appartements,23
Palavas-les-Flots,2022,8625,Appartements,7201
Pardailhan,2022,230,Appartements,7
Paulhan,2022,2026,Appartements,266
Pégairolles-de-Buèges,2022,82,Appartements,6
Pégairolles-de-l'Escalette,2022,164,Appartements,20
Péret,2022,657,Appartements,31
Pérols,2022,5028,Appartements,1231
Pézenas,2022,5287,Appartements,2699
Pézènes-les-Mines,2022,185,Appartements,13
Pierrerue,2022,250,Appartements,3
Pignan,2022,3783,Appartements,1195
Pinet,2022,1026,Appartements,93
Plaissan,2022,790,Appartements,57
Les Plans,2022,219,Appartements,11
Poilhes,2022,355,Appartements,48
Pomérols,2022,1609,Appartements,84
Popian,2022,185,Appartements,19
Portiragnes,2022,4498,Appartements,349
Le Pouget,2022,1105,Appartements,137
Le Poujol-sur-Orb,2022,733,Appartements,137
Poujols,2022,116,Appartements,7
Poussan,2022,3093,Appartements,728
Pouzolles,2022,734,Appartements,50
Pouzols,2022,454,Appartements,27
Le Pradal,2022,167,Appartements,5
Prades-le-Lez,2022,2870,Appartements,845
Prades-sur-Vernazobre,2022,245,Appartements,10
Prémian,2022,415,Appartements,29
Le Puech,2022,168,Appartements,8
Puéchabon,2022,338,Appartements,23
Puilacher,2022,241,Appartements,6
Puimisson,2022,634,Appartements,43
Puissalicon,2022,793,Appartements,40
Puisserguier,2022,1786,Appartements,197
Quarante,2022,1144,Appartements,130
Restinclières,2022,1064,Appartements,135
Rieussec,2022,103,Appartements,2
Riols,2022,667,Appartements,46
Les Rives,2022,116,Appartements,7
Romiguières,2022,24,Appartements,1
Roquebrun,2022,714,Appartements,41
Roqueredonde,2022,122,Appartements,20
Roquessels,2022,86,Appartements,2
Rosis,2022,325,Appartements,28
Rouet,2022,39,Appartements,6
Roujan,2022,1463,Appartements,147
Saint-André-de-Buèges,2022,49,Appartements,3
Saint-André-de-Sangonis,2022,2953,Appartements,541
Saint-Aunès,2022,1917,Appartements,617
Saint-Bauzille-de-la-Sylve,2022,482,Appartements,41
Saint-Bauzille-de-Montmel,2022,580,Appartements,46
Saint-Bauzille-de-Putois,2022,1054,Appartements,126
Saint-Brès,2022,1699,Appartements,563
