LIBGEO,AN,ANNEE_CONS,NOMBRE
Poussan,2022,Construites avant 1919,
Pouzolles,2022,Construites avant 1919,
Pouzols,2022,Construites avant 1919,
Le Pradal,2022,Construites avant 1919,
Prades-le-Lez,2022,Construites avant 1919,
Prades-sur-Vernazobre,2022,Construites avant 1919,
Prémian,2022,Construites avant 1919,
Le Puech,2022,Construites avant 1919,
Puéchabon,2022,Construites avant 1919,
Puilacher,2022,Construites avant 1919,
Puimisson,2022,Construites avant 1919,
Puissalicon,2022,Construites avant 1919,
Puisserguier,2022,Construites avant 1919,
Quarante,2022,Construites avant 1919,
Restinclières,2022,Construites avant 1919,
Rieussec,2022,Construites avant 1919,
Riols,2022,Construites avant 1919,
Les Rives,2022,Construites avant 1919,
Romiguières,2022,Construites avant 1919,
Roquebrun,2022,Construites avant 1919,
Roqueredonde,2022,Construites avant 1919,
Roquessels,2022,Construites avant 1919,
Rosis,2022,Construites avant 1919,
Rouet,2022,Construites avant 1919,
Roujan,2022,Construites avant 1919,
Saint-André-de-Buèges,2022,Construites avant 1919,
Saint-André-de-Sangonis,2022,Construites avant 1919,
Saint-Aunès,2022,Construites avant 1919,
Saint-Bauzille-de-la-Sylve,2022,Construites avant 1919,
Saint-Bauzille-de-Montmel,2022,Construites avant 1919,
Saint-Bauzille-de-Putois,2022,Construites avant 1919,
Saint-Brès,2022,Construites avant 1919,
Saint-Chinian,2022,Construites avant 1919,
Entre-Vignes,2022,Construites avant 1919,
Saint-Clément-de-Rivière,2022,Construites avant 1919,
Sainte-Croix-de-Quintillargues,2022,Construites avant 1919,
Saint-Drézéry,2022,Construites avant 1919,
Saint-Étienne-d'Albagnan,2022,Construites avant 1919,
Saint-Étienne-de-Gourgas,2022,Construites avant 1919,
Saint-Étienne-Estréchoux,2022,Construites avant 1919,
Saint-Félix-de-l'Héras,2022,Construites avant 1919,
Saint-Félix-de-Lodez,2022,Construites avant 1919,
Saint-Gély-du-Fesc,2022,Construites avant 1919,
Saint-Geniès-des-Mourgues,2022,Construites avant 1919,
Saint-Geniès-de-Varensal,2022,Construites avant 1919,
Saint-Geniès-de-Fontedit,2022,Construites avant 1919,
Saint-Georges-d'Orques,2022,Construites avant 1919,
Saint-Gervais-sur-Mare,2022,Construites avant 1919,
Saint-Guilhem-le-Désert,2022,Construites avant 1919,
Saint-Guiraud,2022,Construites avant 1919,
Saint-Hilaire-de-Beauvoir,2022,Construites avant 1919,
Saint-Jean-de-Buèges,2022,Construites avant 1919,
Saint-Jean-de-Cornies,2022,Construites avant 1919,
Saint-Jean-de-Cuculles,2022,Construites avant 1919,
Saint-Jean-de-Fos,2022,Construites avant 1919,
Saint-Jean-de-la-Blaquière,2022,Construites avant 1919,
Saint-Jean-de-Minervois,2022,Construites avant 1919,
Saint-Jean-de-Védas,2022,Construites avant 1919,
Saint-Julien,2022,Construites avant 1919,
Saint-Just,2022,Construites avant 1919,
Saint-Martin-de-l'Arçon,2022,Construites avant 1919,
Saint-Martin-de-Londres,2022,Construites avant 1919,
Saint-Mathieu-de-Tréviers,2022,Construites avant 1919,
Saint-Maurice-Navacelles,2022,Construites avant 1919,
Saint-Michel,2022,Construites avant 1919,
Saint-Nazaire-de-Ladarez,2022,Construites avant 1919,
Saint-Nazaire-de-Pézan,2022,Construites avant 1919,
Saint-Pargoire,2022,Construites avant 1919,
Saint-Paul-et-Valmalle,2022,Construites avant 1919,
Saint-Pierre-de-la-Fage,2022,Construites avant 1919,
Saint-Pons-de-Thomières,2022,Construites avant 1919,
Saint-Pons-de-Mauchiens,2022,Construites avant 1919,
Saint-Privat,2022,Construites avant 1919,
Saint-Saturnin-de-Lucian,2022,Construites avant 1919,
Saint-Sériès,2022,Construites avant 1919,
Saint-Thibéry,2022,Construites avant 1919,
Saint-Vincent-de-Barbeyrargues,2022,Construites avant 1919,
Saint-Vincent-d'Olargues,2022,Construites avant 1919,
Salasc,2022,Construites avant 1919,
